origin,destination,volume
100520,107065,401.25
100520,107144,252.5
100520,107153,3.75
100520,107203,7133.75
100520,107223,31.25
100520,196755,32978.75
100520,260925,102.5
100520,260943,1.25
106801,100273,8451.25
106801,100286,9463.75
106801,100289,18021.25
106801,100315,3640.0
106801,100324,26496.25
106801,100333,204055.0
106801,100380,127578.75
106801,100397,71347.5
106801,100422,94753.75
106801,100487,38008.75
106801,107065,38252.5
106801,107144,6238.75
106801,107153,2351.25
106801,107200,8345.0
106801,107223,63212.5
106801,123958,781457.5
106801,196150,1581.25
106801,196755,8702.5
106801,260925,3110.0
106801,260943,2383.75
106801,260984,1043.75
107065,100273,1307.5
107065,100286,188088.75
107065,100289,64133.75
107065,100315,119161.25
107065,100324,2720.0
107065,100333,5552.5
107065,100380,188020.0
107065,100397,89248.75
107065,100422,72606.25
107065,100430,2257.5
107065,100441,493.75
107065,100444,1347.5
107065,100487,96930.0
107065,100513,14642.5
107065,100520,2153.75
107065,106801,13278.75
107065,107144,1373.75
107065,107200,3.75
107065,107203,2922.5
107065,107223,162.5
107065,196150,4560.0
107065,196755,7407.5
107065,260943,1425.0
107065,260958,3056.25
107065,260984,3270.0
107144,100273,17.5
107144,100286,76.25
107144,100289,105.0
107144,100315,27.5
107144,100333,321.25
107144,100380,4416.25
107144,100397,25573.75
107144,100422,16321.25
107144,100430,882.5
107144,100441,238.75
107144,100444,25055.0
107144,100487,14498.75
107144,100513,1540.0
107144,100520,288.75
107144,106801,1608.75
107144,107065,1595.0
107144,107153,1102.5
107144,107200,90.0
107144,107203,361.25
107144,107223,3786.25
107144,196150,5.0
107144,196755,25471.25
107144,260925,42.5
107144,260943,90.0
107144,260984,18.75
107153,100397,3613.75
107153,100422,22596.25
107153,100430,8367.5
107153,100444,34437.5
107153,100487,1185.0
107153,100513,1478.75
107153,100520,32.5
107153,106801,338.75
107153,107144,662.5
107153,107200,138.75
107153,107223,22935.0
107153,123958,497.5
107153,196755,716.25
107153,260925,1412.5
107200,100273,11.25
107200,100286,12.5
107200,100289,22.5
107200,100315,2.5
107200,100333,217.5
107200,100380,472.5
107200,100397,1823.75
107200,100422,9948.75
107200,100430,1551.25
107200,100487,1168.75
107200,106801,1738.75
107200,107065,35.0
107200,107144,717.5
107200,107153,1933.75
107200,123958,23203.75
107200,196150,5.0
107200,196755,2591.25
107200,260925,45.0
107200,260943,8.75
107203,100286,1200.0
107203,100289,1872.5
107203,100315,836.25
107203,100324,2458.75
107203,100380,7717.5
107203,100397,8517.5
107203,100441,65615.0
107203,100444,212935.0
107203,100487,5022.5
107203,100513,532161.25
107203,100520,10106.25
107203,107065,5102.5
107203,107144,908.75
107203,196755,1957.5
107203,260943,268.75
107203,260984,66.25
107223,100273,67.5
107223,100286,170.0
107223,100289,232.5
107223,100315,12.5
107223,100333,1367.5
107223,100380,4251.25
107223,100397,15945.0
107223,100422,129720.0
107223,100430,17460.0
107223,100444,150237.5
107223,100487,8306.25
107223,100513,10146.25
107223,100520,328.75
107223,106801,12038.75
107223,107065,246.25
107223,107144,4660.0
107223,107153,41856.25
107223,123958,10055.0
107223,196150,58.75
107223,196755,10283.75
107223,260925,290.0
107223,260943,77.5
107223,260984,32.5
123958,100422,11848.75
123958,106801,676072.5
123958,107153,1622.5
123958,107200,9553.75
123958,107223,9463.75
123958,260925,137.5
196150,100273,115567.5
196150,100286,12086.25
196150,100289,28508.75
196150,100315,710.0
196150,100380,82728.75
196150,100397,4473.75
196150,100422,240.0
196150,100430,76.25
196150,100444,238.75
196150,100487,112.5
196150,106801,555.0
196150,107065,13958.75
196150,107144,20.0
196150,107200,17.5
196150,107223,96.25
196150,196755,20.0
196150,260943,662.5
196150,260958,216.25
196150,260984,1691.25
196755,100273,27.5
196755,100286,900.0
196755,100289,2033.75
196755,100315,3106.25
196755,100324,2.5
196755,100333,581.25
196755,100380,6575.0
196755,100397,36608.75
196755,100422,60201.25
196755,100430,1007.5
196755,100441,18111.25
196755,100444,96193.75
196755,100487,89272.5
196755,100513,2886.25
196755,100520,22083.75
196755,106801,1891.25
196755,107065,16718.75
196755,107144,44880.0
196755,107153,1670.0
196755,107200,387.5
196755,107203,853.75
196755,107223,8147.5
196755,196150,8.75
196755,260925,85.0
196755,260943,323.75
196755,260984,50.0
260925,100422,4303.75
260925,100430,363867.5
260925,100444,4863.75
260925,100487,61.25
260925,100513,8476.25
260925,100520,275.0
260925,106801,6166.25
260925,107144,313.75
260925,107153,6642.5
260925,107200,263.75
260925,107223,1982.5
260925,123958,608.75
260925,196755,531.25
260943,100286,2393.75
260943,100289,17687.5
260943,100315,60.0
260943,100324,48.75
260943,100333,201.25
260943,100380,61885.0
260943,100397,21560.0
260943,100422,730.0
260943,100430,190.0
260943,100441,3.75
260943,100444,403.75
260943,100487,5673.75
260943,100513,1930.0
260943,100520,12.5
260943,106801,1950.0
260943,107065,2962.5
260943,107144,185.0
260943,107200,1.25
260943,107203,668.75
260943,107223,106.25
260943,196150,385.0
260943,196755,320.0
260943,260958,32250.0
260943,260984,8978.75
260958,100286,37.5
260958,100315,30.0
260958,107065,7906.25
260958,196150,278.75
260958,260943,34563.75
260984,100273,1538.75
260984,100286,7432.5
260984,100289,18880.0
260984,100315,156.25
260984,100324,5993.75
260984,100333,396.25
260984,100380,24232.5
260984,100397,6260.0
260984,100422,365.0
260984,100430,148.75
260984,100441,33.75
260984,100444,80.0
260984,100487,1818.75
260984,100513,10.0
260984,100520,515.0
260984,106801,707.5
260984,107065,17251.25
260984,107144,418.75
260984,107200,1.25
260984,107203,160.0
260984,107223,6.25
260984,196150,931.25
260984,196755,107.5
260984,260943,15307.5
