origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106940,111699,62476.25,63850.0,65945.0,849677.0,868360.0,896852.0
106940,181083,10846.25,12120.0,13866.25,147509.0,164832.0,188581.0
106940,181085,8335.0,8076.25,7771.25,113356.0,109837.0,105689.0
106940,195913,53.75,57.5,68.75,731.0,782.0,935.0
106940,195938,28252.5,31532.5,36071.25,384234.0,428842.0,490569.0
106968,106977,54911.25,61118.75,69735.0,746793.0,831215.0,948396.0
106968,106987,62772.5,77337.5,101336.25,853706.0,1051790.0,1378173.0
106968,106997,72723.75,87852.5,112673.75,989043.0,1194794.0,1532363.0
106968,110970,65570.0,75816.25,91388.75,891752.0,1031101.0,1242887.0
106968,111036,9218.75,10285.0,11766.25,125375.0,139876.0,160021.0
106968,111052,75153.75,89156.25,111307.5,1022091.0,1212525.0,1513782.0
106968,111059,173216.25,205096.25,253893.75,2355741.0,2789309.0,3452955.0
106968,111069,43788.75,51401.25,63257.5,595527.0,699057.0,860302.0
106968,111077,151745.0,179227.5,222378.75,2063732.0,2437494.0,3024351.0
106968,111084,51523.75,60937.5,75670.0,700723.0,828750.0,1029112.0
106968,111164,85052.5,94488.75,107576.25,1156714.0,1285047.0,1463037.0
106968,111186,9258.75,10888.75,13430.0,125919.0,148087.0,182648.0
106968,111208,67692.5,79696.25,98313.75,920618.0,1083869.0,1337067.0
106968,111241,12952.5,15337.5,19118.75,176154.0,208590.0,260015.0
106968,111243,10197.5,10986.25,12082.5,138686.0,149413.0,164322.0
106968,111283,92742.5,110697.5,139261.25,1261298.0,1505486.0,1893953.0
106968,111322,38132.5,41666.25,47030.0,518602.0,566661.0,639608.0
106968,111349,14811.25,16533.75,18911.25,201433.0,224859.0,257193.0
106968,111359,39642.5,46087.5,55935.0,539138.0,626790.0,760716.0
106968,111366,17185.0,20115.0,24622.5,233716.0,273564.0,334866.0
106968,111428,8030.0,9533.75,11923.75,109208.0,129659.0,162163.0
106968,111442,198807.5,217225.0,242875.0,2703782.0,2954260.0,3303100.0
106968,111465,10655.0,12665.0,15832.5,144908.0,172244.0,215322.0
106968,111471,5412.5,6036.25,6910.0,73610.0,82093.0,93976.0
106968,111496,29697.5,32027.5,35281.25,403886.0,435574.0,479825.0
106968,111529,74011.25,77643.75,82917.5,1006553.0,1055955.0,1127678.0
106968,111551,9095.0,10666.25,13092.5,123692.0,145061.0,178058.0
106968,111555,17167.5,18240.0,19731.25,233478.0,248064.0,268345.0
106968,111588,24056.25,28541.25,35550.0,327165.0,388161.0,483480.0
